isco_code,anzsco_code,anzsco_title,match_quality
3118,312111,Architectural Draftsperson,exact
3118,312116,Surveying or Spatial Science Technician,partial
3118,312199,"Architectural, Building and Surveying Technicians nec",partial
3118,312211,Civil Engineering Draftsperson,exact
3118,312311,Electrical Engineering Draftsperson,exact
3118,312411,Electronic Engineering Draftsperson,exact
3118,312511,Mechanical Engineering Draftsperson,exact
3118,312999,Building and Engineering Technicians nec,partial
3119,311499,Science Technicians nec,partial
3119,312199,"Architectural, Building and Surveying Technicians nec",partial
3119,312912,Metallurgical or Materials Technician,partial
3119,312999,Building and Engineering Technicians nec,partial
3119,399916,Plastics Technician,exact
3119,399918,Fire Protection Equipment Technician,exact
3121,312913,Mine Deputy,exact
3122,133512,Production Manager (Manufacturing),partial
3122,149999,"Hospitality, Retail and Service Managers nec",partial
3123,312112,Building Associate,partial
3123,721211,Earthmoving Plant Operator (General),partial
3131,399212,Gas or Petroleum Operator,partial
3131,399213,Power Generation Plant Operator,exact
3132,712913,Cement Production Plant Operator,partial
3132,712921,Waste Water or Water Plant Operator,exact
3132,712999,Stationary Plant Operators nec,partial
3133,399211,Chemical Plant Operator,exact
3134,399212,Gas or Petroleum Operator,partial
3135,712311,Engineering Production Worker,partial
3139,711311,Paper Products Machine Operator,partial
3139,712916,Paper and Pulp Mill Operator,partial
3139,832211,Product Assembler,partial
3141,311413,Life Science Technician,partial
3142,311111,Agricultural Technician,partial
3143,311413,Life Science Technician,partial
3151,231212,Ship's Engineer,exact
3152,231213,Ship's Master,partial
3152,231214,Ship's Officer,exact
3152,231299,Marine Transport Professionals nec,exact
3153,231111,Aeroplane Pilot,exact
3153,231113,Flying Instructor,exact
3153,231114,Helicopter Pilot,exact
3153,231199,Air Transport Professionals nec,exact
3154,231112,Air Traffic Controller,exact
3155,312412,Electronic Engineering Technician,partial
3155,313211,Radiocommunications Technician,partial
3211,251211,Medical Diagnostic Radiographer,exact
3211,251212,Medical Radiation Therapist,exact
3211,251213,Nuclear Medicine Technologist,exact
3211,251214,Sonographer,partial
3211,311212,Cardiac Technician,partial
3212,234611,Medical Laboratory Scientist,partial
3212,311213,Medical Laboratory Technician,exact
3213,311215,Pharmacy Technician,partial
3214,251912,Orthotist or Prosthetist,exact
3214,311299,Medical Technicians nec,partial
3214,411212,Dental Prosthetist,exact
3214,411213,Dental Technician,exact
3221,411411,Enrolled Nurse,partial
3221,411412,Mothercraft Nurse,partial
3222,411411,Enrolled Nurse,partial
3222,411412,Mothercraft Nurse,partial
3230,251999,Health Diagnostic and Promotion Professionals nec,partial
3230,252212,Homoeopath,partial
3230,252215,Traditional Māori Health Practitioner,partial
3230,252299,Complementary Health Therapists nec,partial
3230,451511,Natural Remedy Consultant,exact
3230,451513,Herbalist (Western),partial
3240,311413,Life Science Technician,partial
3240,361311,Veterinary Nurse,partial
3251,411211,Dental Hygienist,exact
3251,411214,Dental Therapist,exact
3251,423211,Dental Assistant,partial
3252,224213,Health Information Manager,exact
3252,561311,Filing or Registry Clerk,partial
3252,599915,Clinical Coder,exact
3253,251911,Health Promotion Officer,partial
3253,411511,Aboriginal and Torres Strait Islander Health Worker,partial
3254,399913,Optical Dispenser / Dispensing Optician,exact
3255,411611,Massage Therapist,partial
3255,423314,Therapy Aide,partial
3256,311299,Medical Technicians nec,partial
3257,251311,Environmental Health Officer,partial
3257,311312,Meat Inspector,exact
3257,311399,Primary Products Inspectors nec,partial
3257,312611,Safety Inspector,partial
3257,599514,Noxious Weeds and Pest Inspector,exact
3257,599517,Train Examiner,partial
3257,599518,Transport Operations Inspector,partial
3257,599521,Water Inspector,exact
3257,599599,Inspectors and Regulatory Officers nec,partial
3257,821611,Railway Track Worker,partial
3258,411111,Ambulance Officer,partial
3258,411112,Intensive Care Ambulance Paramedic (Aus) / Ambulance Paramedic (NZ),partial
3259,251214,Sonographer,partial
3259,311211,Anaesthetic Technician,exact
3259,311212,Cardiac Technician,partial
3259,311214,Operating Theatre Technician,exact
3259,311299,Medical Technicians nec,partial
3259,411311,Diversional Therapist,partial
3259,423314,Therapy Aide,partial
3311,222112,Finance Broker,exact
3311,222199,Financial Brokers nec,partial
3311,222211,Financial Market Dealer,exact
3311,222212,Futures Trader,exact
3311,222213,Stockbroking Dealer,partial
3311,222299,Financial Dealers nec,partial
3312,552211,Credit or Loans Officer (Aus) / Finance Clerk (NZ),exact
3313,551211,Bookkeeper,partial
3313,552314,Statistical Clerk,partial
3313,561911,Classified Advertising Clerk,partial
3313,561999,Clerical and Office Support Workers nec,partial
3313,599999,Clerical and Administrative Workers nec,partial
3313,631112,Office Cashier,partial
3314,552314,Statistical Clerk,partial
3314,561911,Classified Advertising Clerk,partial
3314,561999,Clerical and Office Support Workers nec,partial
3314,599999,Clerical and Administrative Workers nec,partial
3314,631112,Office Cashier,partial
3315,224512,Valuer,exact
3315,599611,Insurance Investigator,exact
3315,599612,Insurance Loss Adjuster,exact
3315,599613,Insurance Risk Surveyor,exact
3321,222113,Insurance Broker,exact
3321,552312,Insurance Consultant,partial
3321,611211,Insurance Agent,exact
3322,611311,Sales Representative (Building and Plumbing Supplies),exact
3322,611312,Sales Representative (Business Services),partial
3322,611313,Sales Representative (Motor Vehicle Parts and Accessories),exact
3322,611314,Sales Representative (Personal and Household Goods),exact
3322,611399,Sales Representatives nec,exact
3323,639211,Retail Buyer,partial
3323,639212,Wool Buyer,partial
3323,639412,Transport Conductor,partial
3323,639911,Other Sales Support Worker,partial
3324,222111,Commodities Trader,exact
3331,591212,Import-Export Clerk,partial
3332,149311,Conference and Event Organiser,exact
3333,223112,Recruitment Consultant,partial
3333,411712,Disabilities Services Officer,partial
3334,612111,Business Broker,exact
3334,612112,Property Manager,partial
3334,612113,Real Estate Agency Principal / Real Estate Agency Licensee,exact
3334,612114,Real Estate Agent,exact
3334,612115,Real Estate Representative,exact
3339,222199,Financial Brokers nec,partial
3339,223112,Recruitment Consultant,partial
3339,224511,Land Economist,partial
3339,224912,Liaison Officer,partial
3339,224999,Information and Organisation Professionals nec,partial
3339,411712,Disabilities Services Officer,partial
3339,442216,Security Consultant,partial
3339,442299,Security Officers and Guards nec,partial
3339,511111,Contract Administrator,exact
3339,511112,Program or Project Administrator,exact
3339,599916,Facilities Administrator,exact
3339,611111,Auctioneer,exact
3339,611112,Stock and Station Agent,exact
3339,611312,Sales Representative (Business Services),partial
3341,512111,Office Manager,exact
3341,512299,Practice Managers nec,partial
3341,541111,Call or Contact Centre Team Leader,exact
3342,512299,Practice Managers nec,partial
3342,521212,Legal Secretary,exact
3343,521111,Personal Assistant,exact
3343,521211,Secretary (General),partial
3343,532112,Machine Shorthand Reporter,exact
3344,512211,Health Practice Manager,partial
3344,542114,Medical Receptionist,partial
3351,311313,Quarantine Officer,partial
3351,599511,Customs Officer,exact
3351,599512,Immigration Officer,partial
3352,599516,Taxation Inspector,exact
3353,599515,Social Security Assessor,exact
3354,552314,Statistical Clerk,partial
3354,561911,Classified Advertising Clerk,partial
3354,561999,Clerical and Office Support Workers nec,partial
3354,599513,Motor Vehicle Licence Examiner,exact
3354,599599,Inspectors and Regulatory Officers nec,partial
3354,599999,Clerical and Administrative Workers nec,partial
3354,631112,Office Cashier,partial
3355,441311,Detective,partial
3355,441312,Police Officer,partial
3359,224914,Patents Examiner,exact
3359,311311,Fisheries Officer,exact
3359,311313,Quarantine Officer,partial
3359,311399,Primary Products Inspectors nec,partial
3359,312115,Plumbing Inspector,exact
3359,561913,Parking Inspector,exact
3359,599512,Immigration Officer,partial
3359,599517,Train Examiner,partial
3359,599518,Transport Operations Inspector,partial
3359,599599,Inspectors and Regulatory Officers nec,partial
3359,821611,Railway Track Worker,partial
3411,442214,Private Investigator,exact
3411,599111,Conveyancer,exact
3411,599112,Legal Executive,exact
3411,599211,Clerk of Court,exact
